"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation","fiscal_year"
"1500578708","MGT1826","PA","PAS",,"98","VAN","BMW","P","34620","22320","59520","88888888","48","48","48","980359","48","0",,,,"O","735","GARDEN ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,,"2026"
"1497919216","609AZ4","NY","PAS",,"51","MC","GENU","9","17290","10350","23390","20260430","13","13","13","942717","13","0","0245P",,"NY","O","111","E 15 STREET",,"0","408","C",,"BBBBBBB","ALL","ALL","BK","0","2022","-","0",,,,,,"2026"
"1500558278","GHE9467","PA","PAS",,"20","SUBN","TOYOT","P","0","0","0","88888888","42","42","42","980845","42","0","0736P","0730P",,"F","610","E 1698TH STREET",,,"408","D",,"BBBBBBB","ALL","ALL","BLUE","0","0","-","0",,,,,,"2026"
"1499198644","BB66ZB","FL","PAS",,"98","SUBN","NISSA","P","27000","23220","72320","0","48","48","48","976968","48","0","0538P",,"BX","F","947","EAST 178 STREET",,"0","408","F2",,"BBBBBBB","ALL","ALL","GRAY","0","2018","-","0",,,,,,"2026"
"1501019016","ZXC7231","PA","PAS",,"40",,"FORD","P","91080","49950","14530","0","60","60","62","958579","62","0","0940P",,,"F","1848","W 12 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","WH","0","0","-","0",,,,,,"2026"
"1500181754","S2277244","GA","PAS",,"40","SDN",,"P","37180","26230","0","0","67","67","67","979811","67","0","0203A",,"K",,,"E 54TH ST","CHURCH AVE","0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,,"2026"
"1500588880","L18SBU","NJ","PAS",,"14",,,"P","31590","38","28490","0",,"0","1","972983","1","0","0400P",,,"O","17","STATE ST",,"0","408","D",,"BBBBBBB","ALL","ALL","SILVE","0","0","-","0",,,,,,"2026"
"1500500290","F33DUV","NJ","PAS",,"14","SDN","CHEVR","P","63820","74690","12550","20260320","52","52","52","978258","52","0","0700P",,"BX","F","2262","SEDGWICK AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLK","0","2011","-","0",,,,,,"2026"
"1490389118","TDW1504","VA","PAS",,"21","SUBN",,"Y","24240","50290","13540","88888888","107","107","776","835276","776","0","1140A",,,"F","62-66","164 ST",,"0","408","D3",,"BBBBBBB","ALL","ALL","BLK","0","0","-","0",,,,,,"2026"
"1500557470","T626898","OH","PAS",,"40","SDN","HYUND","P","26730","56820","73120","20260320","42","42","42","980954","42","0","0110A",,"BX","O","460","E 169 ST",,"0","408","D4",,"BBBBBBB","ALL","ALL","GRY","0","2011","-","6",,,,,,"2026"
"1500984553","LRL2416","NY","PAS",,"51","SUBN",,"P","0","40404","40404","20250308","50","50","50","956579","50","0","1018A",,"BX","O","7","STEVENSON AVE",,"0","408","C",,"BBBBBBB","ALL","ALL","BLUE","0","2023","-","0",,,,,,"2026"
"1498571244","KEK4043","NY","PAS",,"99","SUBN","JEEP","P","14820","10420","55520","20260924","49","49","49","980882","49","0","1249A",,"BX","O","650","BRITTON ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLK","0","2018","-","0",,,,,,"2026"
"1501351059","T748981","OH","PAS",,"19","SDN","NISSA","P","28265","22840","22890","20250630","103","103","103","980446","103","0","1237A","1237A",,"O","143-13","ARCHER AVE",,,"408","C3",,"BBBBBBB","ALL","ALL","RED","0","2013","-","0",,,,,,"2026"
"1486223060","THJ3259","VA","PAS",,"17","SUBN","BMW","P","10210","19390","19410","88888888","25","25","805","976050","805","0","0631A",,,"F","2253","3RD AVENUE",,"0","408","D1",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1494563459","KXP7798","99","PAS",,"19","SUBN","HONDA","P","0","40404","40404","20260828",,"0","102","965656","102","0","1009A",,"Q","F","75-14","JAM AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","WH","0","2005","-","0",,,,,,"2026"
